Date,Open,High,Low,Close,Volume
2015-09-25D12:47:45.911513000,239.99,239.99,237.36,237.45,6478
2015-09-25D13:57:50.202793000,237.05,237.05,236.08,236.08,12625
2015-09-25D14:55:24.745176000,236.26,236.52,236.1,236.34,9726
2015-09-25D15:53:43.799517000,236.08,236.13,235.44,235.71,14940
2015-09-25D16:59:50.651846000,235.67,236.01,235.46,235.75,16227
2015-09-25D17:55:11.386460000,235.98,236.21,235.6,235.6,11311
2015-09-25D18:59:47.536676000,235.85,236.15,235.85,236.1,14304
2015-09-25D19:43:24.981708000,236.12,236.12,235.44,235.44,2502
2015-09-25D20:59:52.672197000,235.66,235.66,235.03,235.03,6215
2015-09-25D21:59:18.627185000,235.01,235.22,234.81,234.9,8654
2015-09-25D22:51:16.780666000,234.9,235.2,234.9,235.18,995
2015-09-26D00:03:38.733594000,235.29,235.29,235.29,235.29,55
2015-09-26D01:52:14.529110000,235.31,235.36,234.9,234.9,1157
2015-09-26D04:59:59.184208000,234.82,235.11,233.43,233.43,4071
2015-09-26D05:59:08.094077000,233.49,233.65,233.3,233.61,5194
2015-09-26D06:31:54.899279000,234.17,234.17,234.17,234.17,38
2015-09-26D08:52:00.056109000,233.5,233.97,233.36,233.85,7372
2015-09-26D09:43:01.200835000,233.28,233.39,233.28,233.39,2450
2015-09-26D10:52:56.210818000,233.35,233.35,233.35,233.35,544
2015-09-26D11:59:59.999999999,233.12,233.93,232.91,233.93,39997
2015-09-26D12:36:34.567769000,234.1,234.87,234.1,234.68,9118
2015-09-26D13:03:42.798072000,234.35,234.35,234.34,234.34,1124
2015-09-26D14:13:18.324160000,235.0,235.0,235.0,235.0,2209
2015-09-26D15:55:02.972936000,235.33,235.33,234.85,234.85,302
2015-09-26D16:58:12.719177000,234.47,234.47,233.5,233.74,37668
2015-09-26D17:59:16.785599000,233.8,233.8,233.68,233.79,2731
2015-09-26D18:56:40.871765000,233.69,234.0,233.69,234.0,1514
2015-09-26D19:42:53.089926000,234.05,234.73,234.05,234.35,10736
2015-09-26D20:53:42.641633000,234.65,234.67,234.32,234.63,7655
2015-09-26D21:28:44.373141000,234.41,234.53,234.18,234.18,7414
2015-09-27D00:43:38.892953000,234.09,234.48,233.98,234.48,2216
2015-09-27D01:56:53.378867000,234.45,234.76,234.45,234.76,2750
2015-09-27D03:29:40.235489000,234.18,234.5,234.18,234.5,108
2015-09-27D06:57:19.889069000,234.0,234.44,234.0,234.44,561
2015-09-27D08:38:49.812277000,234.23,234.31,233.9,233.98,4956
2015-09-27D10:53:40.729944000,234.2,234.2,233.68,233.8,4922
2015-09-27D11:59:59.999999999,234.01,234.13,233.12,233.4,49122
2015-09-27D12:50:20.826452000,233.39,233.49,233.21,233.21,3335
2015-09-27D13:46:28.756630000,233.37,233.37,233.03,233.28,7065
2015-09-27D15:44:07.212988000,233.23,233.23,233.23,233.23,489
2015-09-27D16:58:01.386864000,233.68,233.68,233.32,233.32,4358
2015-09-27D17:54:39.569097000,233.13,233.13,233.13,233.13,1086
2015-09-27D18:55:32.344206000,233.23,233.23,233.23,233.23,0
2015-09-27D19:17:30.199694000,233.37,233.48,233.37,233.48,3350
2015-09-27D20:16:47.892110000,233.47,233.47,233.44,233.44,18
2015-09-27D21:46:44.786941000,233.1,233.51,233.1,233.41,1617
2015-09-27D22:37:41.426925000,233.51,233.65,233.35,233.35,1007
2015-09-28D00:42:03.624284000,233.01,233.04,232.9,233.04,1598
2015-09-28D01:47:50.908179000,233.39,233.93,233.39,233.58,1672
2015-09-28D02:53:31.397206000,233.69,234.58,233.6,234.58,7199
2015-09-28D03:54:10.927300000,234.86,238.23,234.45,237.47,31934
2015-09-28D04:47:07.306288000,237.82,237.82,237.34,237.51,3655
2015-09-28D05:37:04.809409000,237.37,237.8,237.37,237.8,5032
2015-09-28D06:41:04.580559000,237.03,237.24,237.03,237.24,22
2015-09-28D07:58:26.193060000,237.3,238.7,237.3,238.7,13243
2015-09-28D08:58:45.774016000,239.0,240.49,238.2,238.4,22480
2015-09-28D09:56:09.095109000,238.39,238.6,238.31,238.6,9611
2015-09-28D10:59:44.201342000,238.57,239.16,238.57,239.16,4296
2015-09-28D11:59:59.999999999,238.25,238.25,238.25,238.25,28749
2015-09-28D12:52:52.764127000,238.0,238.0,238.0,238.0,282
2015-09-28D13:58:15.139030000,237.97,238.19,237.87,238.19,8858
2015-09-28D14:56:13.549979000,238.15,239.7,238.15,239.15,14403
2015-09-28D15:38:57.918922000,238.84,239.31,238.8,239.31,867
2015-09-28D16:52:57.997046000,239.0,239.0,239.0,239.0,1249
2015-09-28D17:57:36.765578000,238.86,238.87,238.61,238.61,2367
2015-09-28D18:30:46.292661000,239.0,239.0,239.0,239.0,2
2015-09-28D19:59:30.747039000,238.98,238.98,238.38,238.38,5
2015-09-28D21:47:19.903253000,239.65,243.19,238.4,240.26,1232
2015-09-28D22:54:18.311398000,240.26,240.26,238.25,238.25,1846
2015-09-29D00:59:46.429983000,240.28,241.5,238.34,238.34,19780
2015-09-29D01:55:40.301000000,238.81,239.7,238.64,239.0,11726
2015-09-29D02:56:40.847872000,239.7,239.7,239.7,239.7,574
2015-09-29D03:59:36.296376000,239.57,239.57,239.09,239.14,3088
2015-09-29D04:59:26.722357000,239.6,240.52,239.6,240.52,3762
2015-09-29D05:45:40.879838000,240.52,240.76,240.06,240.7,4001
2015-09-29D07:59:55.019481000,240.37,240.87,239.96,240.13,20821
2015-09-29D08:50:07.982222000,239.96,239.96,238.88,238.96,8438
